zip,lat,lng,city,state
10001,40.7484,-73.9967,New York,NY
90001,33.9425,-118.2551,Los Angeles,CA
60601,41.8819,-87.6268,Chicago,IL
77001,29.7604,-95.3698,Houston,TX
85001,33.4484,-112.0740,Phoenix,AZ
19101,39.9526,-75.1652,Philadelphia,PA
78201,29.4241,-98.4936,San Antonio,TX
92101,32.7157,-117.1611,San Diego,CA
75201,32.7767,-96.7970,Dallas,TX
95101,37.3382,-121.8863,San Jose,CA
78701,30.2672,-97.7431,Austin,TX
32201,30.3322,-81.6557,Jacksonville,FL
76101,32.7555,-97.3308,Fort Worth,TX
43201,39.9612,-83.0007,Columbus,OH
28201,35.2271,-80.8431,Charlotte,NC
46201,39.7684,-86.1581,Indianapolis,IN
94101,37.7749,-122.4194,San Francisco,CA
98101,47.6062,-122.3321,Seattle,WA
80201,39.7392,-104.9903,Denver,CO
37201,36.1627,-86.7816,Nashville,TN
73101,35.4676,-97.5164,Oklahoma City,OK
20001,38.9072,-77.0369,Washington,DC
89101,36.1699,-115.1398,Las Vegas,NV
33101,25.7617,-80.1918,Miami,FL
97201,45.5152,-122.6784,Portland,OR
38101,35.1495,-90.0490,Memphis,TN
40201,38.2527,-85.7585,Louisville,KY
21201,39.2904,-76.6122,Baltimore,MD
53201,43.0389,-87.9065,Milwaukee,WI
87101,35.0853,-106.6056,Albuquerque,NM
85701,32.2226,-110.9747,Tucson,AZ
93701,36.7378,-119.7871,Fresno,CA
95801,38.5816,-121.4944,Sacramento,CA
64101,39.0997,-94.5786,Kansas City,MO
85201,33.4152,-111.8315,Mesa,AZ
30301,33.7490,-84.3880,Atlanta,GA
32202,30.3322,-81.6557,Jacksonville,FL
68101,41.2565,-95.9345,Omaha,NE
80901,38.8339,-104.8214,Colorado Springs,CO
27601,35.7796,-78.6382,Raleigh,NC
90801,33.7701,-118.1937,Long Beach,CA
22101,38.9072,-77.0369,McLean,VA
33601,27.9506,-82.4572,Tampa,FL
55401,44.9778,-93.2650,Minneapolis,MN
44101,41.4993,-81.6944,Cleveland,OH
48201,42.3314,-83.0458,Detroit,MI
92601,33.6846,-117.8265,Irvine,CA
32801,28.5383,-81.3792,Orlando,FL
02901,41.8236,-71.4222,Providence,RI
15201,40.4406,-79.9959,Pittsburgh,PA
45201,39.1031,-84.5120,Cincinnati,OH
